date,confirmed,deaths,recovered
2020-01-22,548,17,28
2020-01-23,643,18,30
2020-01-24,920,26,36
2020-01-25,1406,42,39
2020-01-26,2075,56,49
2020-01-27,2877,82,58
2020-01-28,5509,131,101
2020-01-29,6087,133,120
2020-01-30,8141,171,135
2020-01-31,9802,213,214
2020-02-01,11891,259,275
2020-02-02,16630,361,463
2020-02-03,19716,425,614
2020-02-04,23707,491,843
2020-02-05,27440,563,1115
2020-02-06,30587,633,1477
2020-02-07,34110,718,1999
2020-02-08,36814,805,2596
2020-02-09,39829,905,3219
2020-02-10,42354,1012,3918
2020-02-11,44386,1112,4636
2020-02-12,44759,1117,5082
2020-02-13,59895,1369,6217
2020-02-14,66358,1521,7977
2020-02-15,68413,1663,9298
2020-02-16,70513,1766,10755
2020-02-17,72434,1864,12462
2020-02-18,74211,2003,14206
2020-02-19,74619,2116,15962
2020-02-20,75077,2238,18014
2020-02-21,75550,2238,18704
2020-02-22,77001,2443,22699
2020-02-23,77022,2445,23187
2020-02-24,77241,2595,25015
2020-02-25,77754,2665,27676
2020-02-26,78166,2717,30084
2020-02-27,78600,2746,32930
2020-02-28,78928,2790,36329
2020-02-29,79356,2837,39320
2020-03-01,79932,2872,42162
2020-03-02,80136,2914,44854
2020-03-03,80261,2947,47450
2020-03-04,80386,2983,50001
2020-03-05,80537,3015,52292
2020-03-06,80690,3044,53944
2020-03-07,80770,3072,55539
2020-03-08,80823,3100,57388
2020-03-09,80860,3123,58804
2020-03-10,80887,3139,60181
2020-03-11,80921,3161,61644
2020-03-12,80932,3172,62901
2020-03-13,80945,3180,64196
2020-03-14,80977,3193,65660
2020-03-15,81003,3204,67017
2020-03-16,81033,3219,67910
2020-03-17,81058,3232,68798
2020-03-18,81102,3243,69755
2020-03-19,81156,3251,70535
2020-03-20,81250,3255,71266
2020-03-21,81305,3262,71857
2020-03-22,81435,3277,72362
2020-03-23,81493,3279,72814
2020-03-24,81587,3286,73280
2020-03-25,81658,3290,73773
2020-03-26,81781,3299,74181
2020-03-27,81872,3304,74720
2020-03-28,81964,3307,75100
2020-03-29,82058,3313,75582
2020-03-30,82139,3318,75923
2020-03-31,83786,3323,76206
2020-04-01,84002,3332,76405
2020-04-02,84129,3339,76565
2020-04-03,84265,3348,76760
2020-04-04,84363,3353,76946
2020-04-05,84467,3357,77207
2020-04-06,84611,3361,77310
2020-04-07,84692,3362,77410
2020-04-08,84909,3366,77567
2020-04-09,85024,3372,77679
2020-04-10,85115,3373,77791
2020-04-11,85208,3379,77877
2020-04-12,85377,3381,77956
2020-04-13,85489,3385,78039
2020-04-14,85569,3387,78200
2020-04-15,85668,3389,78311
2020-04-16,85774,3391,78401
2020-04-17,86187,4686,77552
2020-04-18,86258,4687,77614
2020-04-19,86321,4687,77690
2020-04-20,86382,4688,77745
2020-04-21,86452,4691,77799
2020-04-22,86508,4692,77861
2020-04-23,86548,4693,77983
2020-04-24,86594,4694,78109
2020-04-25,86632,4695,78175
2020-04-26,86661,4696,78277
2020-04-27,86692,4696,78374
2020-04-28,86754,4697,78422
2020-04-29,86783,4697,78474
2020-04-30,86828,4697,78523
2020-05-01,86850,4698,78573
2020-05-02,86858,4698,78586
2020-05-03,86842,4699,78684
2020-05-04,86838,4699,78792
2020-05-05,86855,4699,78870
2020-05-06,86877,4699,78929
2020-05-07,86888,4701,78977
2020-05-08,86905,4702,78993
2020-05-09,86934,4702,79127
2020-05-10,86973,4703,79167
2020-05-11,86980,4704,79198
2020-05-12,87002,4704,79222
2020-05-13,87016,4704,79246
2020-05-14,87032,4704,79261
2020-05-15,87052,4704,79281
2020-05-16,87070,4705,79293
2020-05-17,87092,4705,79306
2020-05-18,87119,4705,79310
2020-05-19,87135,4706,79310
2020-05-20,87151,4706,79310
2020-05-21,87190,4706,79310
2020-05-22,87235,4706,79332
2020-05-23,87266,4706,79335
2020-05-24,87313,4706,79343
2020-05-25,87360,4706,79352
2020-05-26,87390,4707,79358
2020-05-27,87421,4708,79367
2020-05-28,87444,4708,79371
2020-05-29,87466,4708,79382
2020-05-30,87475,4708,79386
2020-05-31,87496,4708,79389
2020-06-01,87520,4708,79398
2020-06-02,87535,4708,79400
2020-06-03,87538,4708,79404
2020-06-04,87553,4708,79415
2020-06-05,87561,4708,79420
2020-06-06,87572,4708,79424
2020-06-07,87581,4708,79434
2020-06-08,87587,4708,79444
2020-06-09,87610,4708,79451
2020-06-10,87626,4708,79456
2020-06-11,87636,4708,79464
2020-06-12,87648,4708,79472
2020-06-13,87713,4708,79475
2020-06-14,87769,4708,79482
2020-06-15,87830,4708,79489
2020-06-16,87880,4708,79493
2020-06-17,87921,4708,79510
2020-06-18,87965,4709,79515
2020-06-19,87971,4709,79515
2020-06-20,88034,4709,79534
2020-06-21,88057,4710,79535
2020-06-22,88115,4710,79547
2020-06-23,88150,4711,79555
2020-06-24,88172,4711,79562
2020-06-25,88201,4712,79572
2020-06-26,88229,4712,79580
2020-06-27,88258,4712,79591
2020-06-28,88277,4713,79609
2020-06-29,88305,4713,79619
2020-06-30,88311,4713,79632
2020-07-01,88344,4713,79650
2020-07-02,88360,4713,79665
2020-07-03,88372,4713,79680
2020-07-04,88395,4713,79706
2020-07-05,88415,4713,79718
2020-07-06,88444,4713,79725
2020-07-07,88485,4713,79754
2020-07-08,88524,4713,79802
2020-07-09,88571,4713,79802
2020-07-10,88612,4713,79802
2020-07-11,88657,4713,79876
2020-07-12,88708,4713,79907
2020-07-13,88766,4713,79907
2020-07-14,88828,4714,79967
2020-07-15,88852,4714,80005
2020-07-16,88935,4716,80038
2020-07-17,89015,4716,80064
2020-07-18,89109,4718,80092
2020-07-19,89280,4718,80137
2020-07-20,89376,4718,80162
2020-07-21,89454,4720,80204
2020-07-22,89614,4720,80244
2020-07-23,89768,4721,80297
2020-07-24,89957,4722,80341
2020-07-25,90192,4724,80409
2020-07-26,90432,4724,80459
2020-07-27,90658,4728,80466
2020-07-28,90875,4728,80517
2020-07-29,91074,4730,80594
2020-07-30,91359,4730,80680
2020-07-31,91500,4733,80787
2020-08-01,91690,4737,80907
2020-08-02,91864,4740,81018
2020-08-03,91983,4743,81113
2020-08-04,92109,4747,81234
2020-08-05,92255,4749,81417
2020-08-06,92406,4750,81592
2020-08-07,92540,4752,81788
2020-08-08,92646,4753,81969
2020-08-09,92778,4757,82125
2020-08-10,92919,4760,82247
2020-08-11,92986,4764,82440
2020-08-12,93091,4769,82633
2020-08-13,93210,4771,82804
2020-08-14,93308,4772,82956
2020-08-15,93392,4774,83108
2020-08-16,93503,4775,83200
2020-08-17,93605,4775,83283
2020-08-18,93675,4776,83408
2020-08-19,93720,4778,83566
2020-08-20,93782,4779,83663
2020-08-21,93851,4781,83793
2020-08-22,93922,4782,83924
2020-08-23,93978,4783,83988
2020-08-24,94027,4784,84058
2020-08-25,94077,4784,84168
2020-08-26,94118,4785,84251
2020-08-27,94166,4786,84335
2020-08-28,94202,4791,84419
2020-08-29,94236,4793,84484
2020-08-30,94272,4795,84546
2020-08-31,94310,4796,84594
2020-09-01,94363,4797,84652
2020-09-02,94402,4800,84695
2020-09-03,94445,4801,84737
2020-09-04,94491,4801,84782
2020-09-05,94516,4801,84837
2020-09-06,94565,4802,84873
2020-09-07,94601,4805,84900
2020-09-08,94621,4806,84932
2020-09-09,94641,4806,84957
2020-09-10,94683,4806,85005
2020-09-11,94722,4807,85025
2020-09-12,94752,4808,85054
2020-09-13,94851,4808,85086
2020-09-14,94911,4809,85101
2020-09-15,94934,4809,85129
2020-09-16,94966,4810,85155
