date,confirmed,deaths,recovered
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,2,2,0
2020-02-20,5,2,0
2020-02-21,18,4,0
2020-02-22,28,5,0
2020-02-23,43,8,0
2020-02-24,61,12,0
2020-02-25,95,16,0
2020-02-26,139,19,49
2020-02-27,245,26,49
2020-02-28,388,34,73
2020-02-29,593,43,123
2020-03-01,978,54,175
2020-03-02,1501,66,291
2020-03-03,2336,77,291
2020-03-04,2922,92,552
2020-03-05,3513,107,739
2020-03-06,4747,124,913
2020-03-07,5823,145,1669
2020-03-08,6566,194,2134
2020-03-09,7161,237,2394
2020-03-10,8042,291,2731
2020-03-11,9000,354,2959
2020-03-12,10075,429,2959
2020-03-13,11364,514,2959
2020-03-14,12729,611,2959
2020-03-15,13938,724,4590
2020-03-16,14991,853,4590
2020-03-17,16169,988,5389
2020-03-18,17361,1135,5389
2020-03-19,18407,1284,5710
2020-03-20,19644,1433,6745
2020-03-21,20610,1556,7635
2020-03-22,21638,1685,7931
2020-03-23,23049,1812,7931
2020-03-24,24811,1934,8913
2020-03-25,27017,2077,9625
2020-03-26,29406,2234,10457
2020-03-27,32332,2378,11133
2020-03-28,35408,2517,11679
2020-03-29,38309,2640,12391
2020-03-30,41495,2757,13911
2020-03-31,44605,2898,14656
2020-04-01,47593,3036,15473
2020-04-02,50468,3160,16711
2020-04-03,53183,3294,17935
2020-04-04,55743,3452,19736
2020-04-05,58226,3603,19736
2020-04-06,60500,3739,24236
2020-04-07,62589,3872,27039
2020-04-08,64586,3993,29812
2020-04-09,66220,4110,32309
2020-04-10,68192,4232,35465
2020-04-11,70029,4357,41947
2020-04-12,71686,4474,43894
2020-04-13,73303,4585,45983
2020-04-14,74877,4683,48129
2020-04-15,76389,4777,49933
2020-04-16,77995,4869,52229
2020-04-17,79494,4958,54064
2020-04-18,80868,5031,55987
2020-04-19,82211,5118,57023
2020-04-20,83505,5209,59273
2020-04-21,84802,5297,60965
2020-04-22,85996,5391,63113
2020-04-23,87026,5481,64843
2020-04-24,88194,5574,66599
2020-04-25,89328,5650,68193
2020-04-26,90481,5710,69657
2020-04-27,91472,5806,70933
2020-04-28,92584,5877,72439
2020-04-29,93657,5957,73791
2020-04-30,94640,6028,75103
2020-05-01,95646,6091,76318
2020-05-02,96448,6156,77350
2020-05-03,97424,6203,78422
2020-05-04,98647,6277,79379
2020-05-05,99970,6340,80475
2020-05-06,101650,6418,81587
2020-05-07,103135,6486,82744
2020-05-08,104691,6541,83837
2020-05-09,106220,6589,85064
2020-05-10,107603,6640,86143
2020-05-11,109286,6685,87422
2020-05-12,110767,6733,88357
2020-05-13,112725,6783,89428
2020-05-14,114533,6854,90539
2020-05-15,116635,6902,91836
